BEST_PARENT,parcels,source,addr
GRANDVIEW EIGHT LLC,10,name_only,7175 NOLENSVILLE RD STE 207 NOLENSVILLE TN 37135
FRIENDSHIP MISSIONARY BAPTIST CHURCH INC,10,name_only,1109 32ND AV N NASHVILLE TN 37209
SBE PARTNERS,10,name_only,2525 21ST AVE S 2ND FLOOR NASHVILLE TN 37212
GLENCLIFF SITEWORK LLC,10,name_only,209 WOODFORD PL NASHVILLE TN 37215
GILLESPIE LAND DEV LLC,10,name_only,831 TYNE BV NASHVILLE TN 37220
SENIOR CITIZENS BUILDING CORP,10,name_only,1900 ACKLEN AV NASHVILLE TN 37212
11TH AVENUE PARTNERS LLC,10,name_only,943 OAK VALLEY DR NASHVILLE TN 37220
SHM HOLDINGS LLC,10,name_only,PO BOX 331309 NASHVILLE TN 37203
LUCILE STREET PARTNERS LLC,10,name_only,22 LUCILE ST NASHVILLE TN 37207
JOSLIN SIGN & MAINTENANCE CO,10,name_only,630 MURFREESBORO PIKE NASHVILLE TN 37210
REFRESHCO LLC,10,name_only,209 10TH AVE S STE 134 NASHVILLE TN 37203
OTTER WOOD HOMEOWNERS ASSOCIATION INC,10,name_only,50 VANTAGE WAY STE 100 NASHVILLE TN 37228
LARRY POWELL BUILDERS INC,10,name_only,6978 LEBANON RD F MOUNT JULIET TN 37122
HJL LP,10,name_only,PO BOX 140510 NASHVILLE TN 37214
KIA INVESTMENTS LLC,10,name_only,8104 CAMBURY CV W GERMANTOWN TN 38138
JHAS PROPERTIES CORP,10,name_only,PO BOX 91056 NASHVILLE TN 37209
KING PROPERTIES & INVESTMENTS LLC,10,name_only,1059 E TRINITY LN NASHVILLE TN 37216
JAI BALAJI LLC,10,name_only,5600 O'BRIEN AVE NASHVILLE TN 37209
JACKSON'S OLD HICKORY COUNTRY CLUB LLC,10,name_only,5484 LICKTON PK GOODLETTSVILLE TN 37072
VALLEY VIEW PARTNERS LLC,10,name_only,306 42ND AVE N NASHVILLE TN 37209
PHASE 2 DEVELOPMENT LLC,10,name_only,620 8TH AVE S ATTN BRAD NORRIS NASHVILLE TN 37203
PLATINUM INVEST LLC,10,name_only,10 BURTON HILLS BLVD STE 400 NASHVILLE TN 37215
POPLAR CREEK ESTATES HOA INC,10,name_only,PO BOX 210945 NASHVILLE TN 37221
HUDSON ROW LLC,10,name_only,3206 MAPLESIDE LN MURFREESBORO TN 37128
PANTHEON DEVELOPMENT LLC,10,name_only,1389 MOONLIGHT TRL BRENTWOOD TN 37027
HRT OF TENNESSEE INC,10,name_only,"3310 WEST END AVE STE 700, NASHVILLE, TN 37203-1097"
21/32 PROPERTIES GP,10,name_only,4301 HILLSBORO PIKE SUITE 100
OWEN DEVELOPMENT LLC,10,name_only,1400 5TH AVE N NASHVILLE TN 37208
1300 HERMAN STREET LLC,10,name_only,1449 S MICHIGAN AVE STE 13267 CHICAGO IL 60605
HOMES BY DESIGN LLC,10,name_only,4989 LEBANON RD OLD HICKORY TN 37138
HOLT WOODS HOMEOWNERS ASSOC INC,10,name_only,PO BOX 2491 BRENTWOOD TN 37024
MAINLAND GERMANTOWN LLC,10,name_only,118 16TH AVE S STE 230 NASHVILLE TN 37203
SHORENSTEIN REALTY INVESTORS TWO LP,10,name_only,C/O VALLA BROWN 26 CENTURY BV STE 8 NASHVILLE TN 37214
FOUR LIONS LAND DEVELOPMENT LLC AND DONATI DEV LLC,10,name_only,210 JUAREZ DR HERMITAGE TN 37076
NOBLE LOOP 10 LLC,10,name_only,209 WOODFORD PL NASHVILLE TN 37215
THE WILLIAM FRANKLIN BUCHANAN COMMUNITY DEV CORP,10,name_only,4121 CLARKSVILLE PIKE STE 9 NASHVILLE TN 37218
DOWLING CAPITAL INVESTMENTS LLC,10,name_only,2817 WEST END AVE 126-404 NASHVILLE TN 37203
UNITED NEIGHBORHOOD HEALTH SERVICES INC,10,name_only,617 SOUTH 8TH ST NASHVILLE TN 37206
DESIGNWORKS INVESTMENTS LLC,10,name_only,3343 ASPEN GROVE DR STE 200 FRANKLIN TN 37067
DELVIN DOWNS ESTATES HOMEOWNERS ASSOCIATION INC,10,name_only,500 VANTAGE WAY STE 100 NASHVILLE TN 37228
DANNER-ELLER GOLF PROPERTIES INC,10,name_only,3939 OLD HICKORY BV OLD HICKORY TN 37138
D223 LLC,10,name_only,521 8TH AVE S STE 103 NASHVILLE TN 37203
CUMBERLAND BUILDERS INC,10,name_only,3101 CHATEAU VALLEY DR
SYLVAN MEADOWS LLC,10,name_only,7651 OLD CHARLOTTE PK NASHVILLE TN 37209
CORINTHIAN CUSTOM HOMES INC,10,name_only,120 KENDALL PARK DR
Scottsdale AZ fund,10,canon_parent,7350 E EVANS RD BLDG D SCOTTSDALE AZ 85260
NASHVILLE BUILDING GROUP LLC,10,name_only,112 LEGENDS RIDGE DR LEBANON TN 37090
TACO BELL CORP,10,name_only,%G MCELROY & ASSOC 1011 STEMMONS TOWER S DALLAS TX 75207
CIARA PROPERTIES,10,name_only,510 S MAIN ST SPRINGFIELD TN 37172
WESTSIDE APARTMENTS LTD,10,name_only,8044 RAY MEARS BV STE 102 KNOXVILLE TN 37939
STD PROPERTIES LLC,10,name_only,1709 GLEN ECHO ROAD
MIAMI LAND LLC,10,name_only,2012 21ST AVE S NASHVILLE TN 37212
STAR BRIGHT CORP,10,name_only,1431 DICKERSON PIKE NASHVILLE TN 37207
SP LAND DEVELOPMENT LLC,10,name_only,1000 PLEASANT GROVE PL STE 200 MOUNT JULIET TN 37122
FOREST PARK 2-3 LLC,10,name_only,323 FOREST PARK RD 2-3 MADISON TN 37115
FORD TENNESSEE COMMUNITY PROPERTY TRUST,10,name_only,3924 CAYLOR DR NASHVILLE TN 37215
FLIPSIDE 17 LLC,10,name_only,1344 LA FRANCE ST NE ATLANTA GA 30307
SMALL GROUP LLC,10,name_only,2610 WESTWOOD DR NASHVILLE TN 37204
FFN4H DEV LLC,10,name_only,PO BOX 150204 NASHVILLE TN 37215
SONTARA OLD HICKORY INC,10,name_only,9335 HARRIS CORNERS PKWY STE 300 CHARLOTTE NC 28269
ENCHANTED DEVELOPMENTS LLC,10,name_only,4232 PRINCESS LN NASHVILLE TN 37218
SOUTHERN CAPSTONE PROPERTIES LLC,10,name_only,273 CUMBERLAND CIR
KELLEY PROPERTIES LLC,10,name_only,843 LORETTA DR GOODLETTSVILLE TN 37072
NORTH GULCH PARTNERS II LLC,10,name_only,1207 B MCGAVOCK ST NASHVILLE TN 37203
SPRINTZ MANAGEMENT CO,10,name_only,C/O CHARLES SPRINTZ 325 WHITES BRIDGE RD NASHVILLE TN 37205
NATHAN DALE STOOPS REAL ESTATE LLC,9,name_only,519 BASSWOOD AVE NASHVILLE TN 37209
PARO SOUTH LLC,9,name_only,626 BOSCOBEL ST
NEW URBAN CONSTRUCTION LLC,9,name_only,915 A RUSSELL ST NASHVILLE TN 37206
OP MONROE PARTNERS LLC,9,name_only,54 MUSIC SQ E STE 100 NASHVILLE TN 37203
NTN GENERAL INVESTMENTS II LLC,9,name_only,3240 N LAKE SHORE DR 4B
NASHVILLE JERSEY HOLDINGS LLC,9,name_only,1006 RIVERSIDE RD OLD HICKORY TN 37138
ATLANTIC/MINI-STORAGE #7 LLC ET AL,9,name_only,6400 POWERS FERRY RD STE 395 ATLANTA GA 30339
NASHVILLE QUALITY HOMES LLC,9,name_only,8112 MOORES LN BRENTWOOD TN 37027
NEIGHBORHOOD HOLDINGS LLC,9,name_only,2129 BELCOURT AVE FL 2 NASHVILLE TN 37212
ARLINGTON CO,9,name_only,2006 BROADWAY NASHVILLE TN 37203
NASHVILLE TERMINAL LLC,9,name_only,3300 N 29TH AVE STE 101 HOLLYWOOD FL 33020
ASTERCOR GROUP LLC,9,name_only,2629 SOLON DR NASHVILLE TN 37206
NORTH HAMPTON INVESTMENTS LLC,9,name_only,16126 ROYAL MOUNT DR ENCINO CA 91436
ARCHER DEVELOPMENT LLC,9,name_only,400 OVERBECK LN STE 201 NASHVILLE TN 37204
TYNE ENTERPRISES LLC,9,name_only,P O BOX 41145
P & P DEVELOPMENT LLC,9,name_only,606 BASSWOOD AV
CENTRUM-ARGYLE LTD PARTNERSHIP,9,name_only,PO BOX A3879 CHICAGO IL 60690
ANDERSON PROPERTIES,9,name_only,28 WHITE BRIDGE RD NASHVILLE TN 37203
SUSSEX PARTNERS GP,9,name_only,PO BOX 160591 NASHVILLE TN 37216
SOUTH COLONY AT RIVERBEND HOA INC,9,name_only,50 VANTAGE WAY STE 100 NASHVILLE TN 37228
SPIVA/HILL MANAGEMENT & INVESTMENT LLC,9,name_only,4121 HILLSBORO PIKE STE 302 NASHVILLE TN 37215
ZHAMBALA HOLDINGS LLC,9,name_only,1818 TYNE BLVD NASHVILLE TN 37215
700 12TH AVENUE LLC,9,name_only,4313 WALLACE LN NASHVILLE TN 37215
ZK HOLDINGS LLC,9,name_only,801 HILLVIEW HTS 211 NASHVILLE TN 37204
SUPERIOR DEVELOPMENT LLC,9,name_only,917 ELVIRA AVE NASHVILLE TN 37216
625 HAMILTON LP,9,name_only,1420 E 7TH ST STE 150 CHARLOTTE NC 28204
AAF INVESTMENTS LLC,9,name_only,949 BORDEAUX PL NASHVILLE TN 37207
SYNDICATE PROPERTIES LLC,9,name_only,2132 CANADY AVE NASHVILLE TN 37211
SYNERGY HOLDINGS LLC,9,name_only,124 S 17TH ST NASHVILLE TN 37206
THE STEWART TENNESSEE COMMUNITY PROPERTY TRUST,9,name_only,150 GRASSLAND DR GALLATIN TN 37066
THE PRESERVE PHASE I & II ASSOCIATION INC,9,name_only,421 E IRIS DR STE 300 NASHVILLE TN 37204
T & SY LLC,9,name_only,7175 NOLENSVILLE RD STE 207 NOLENSVILLE TN 37135
501 UNION LEVEL OFFICE LLC,9,name_only,73 W MONROE STE 211 CHICAGO IL 60603
A/E CONSTRUCTION INC,9,name_only,509A BREWER DR NASHVILLE TN 37211
SHONEY'S INC,9,name_only,1727 ELM HILL PK NASHVILLE TN 37210
ANCHOR PROPERTY HOLDINGS LLC,9,name_only,3108 BLEVINS RD WHITES CREEK TN 37189
Q & A HOLDINGS G P,9,name_only,1110 PARIS AVE NASHVILLE TN 37204
PASS BROTHERS RE LLC,9,name_only,832 GLEN LEVEN DR NASHVILLE TN 37204
PATY CONSTRUCTION LLC,9,name_only,614 WACO DR NASHVILLE TN 37209
PFOX LLC,9,name_only,5814 S BELGRAVIA AVE SPRINGFIELD MO 65804
PROCTOR FAMILY PARTNERSHIP,9,name_only,8112 CHASEVIEW CT NASHVILLE TN 37221
ALPHA DEVELOPMENT CORP,9,name_only,2222 STATE ST NASHVILLE TN 37203
PROJECT RETURN INC,9,name_only,109 LAFAYETTE ST ATTN: BETTY KIRKLAND NASHVILLE TN 37210
R D HERBERT & SONS CO,9,name_only,601 HARRISON ST NASHVILLE TN 37219
SECOND AVENUE NASHVILLE PROPERTY LLC,9,name_only,600 NORTHLAKE BLVD STE 130 ALTAMONTE SPRINGS FL 32701
UNICAPITAL INC,9,name_only,345 E 80TH ST 56 NEW YORK NY 10075
ROLLINS PROPERTIES INC,9,name_only,2675 MORGANTOWN RD C/O PENSKE TRUCK LEASING CO L P ATTN REAL ESTATE READING PA 19607
RUSSELL FAMILY PARTNERS LLC & MCKNIGHT BENTON G,9,name_only,215 BURNT LEAF LN BRENTWOOD TN 37027
TIDWELL & TIDWELL INC,9,name_only,PO BOX 132 NOLENSVILLE TN 37135
SAINT THOMAS PROPERTIES LLC,9,name_only,4457 BENCHMARK DR ANTIOCH TN 37013
SANDFORD DEV CO INC,9,name_only,5409 FRANKLIN RD NASHVILLE TN 37220
Meritage Homes,9,curated_brand,17851 N 85TH ST STE 300 SCOTTSDALE AZ 85255
BASKIN CO THE LLC,9,name_only,1612 WESTGATE CR STE 221 BRENTWOOD TN 37027
MTP-PASEO PHASE III LAND LLC,9,name_only,1300 MARTIN ST C/O SOMERA RD INC NASHVILLE TN 37203
GBD LLC,9,name_only,2408 PALOMINO LN LAS VEGAS NV 89107
FAIRFAX DEV CO,9,name_only,2231 BLAIR BOULEVARD
WISDOM ROCK LLC,9,name_only,650 WEDGEWOOD AVE NASHVILLE TN 37203
FIFTEENTH AV BAPTIST COMMUNITY DEV CORP,9,name_only,930 SCOVEL ST NASHVILLE TN 37208
FRONT PORCH REALTY LLC,9,name_only,2626 N MT JULIET RD MOUNT JULIET TN 37122
BUILDERS EDGE LLC,9,name_only,342 FANNIS CIR GALLATIN TN 37066
FTN INVESTMENTS LLC,9,name_only,3921 FLICKER DR NASHVILLE TN 37218
GAMO PARTNERS,9,name_only,9028 MAYFIELD CT BRENTWOOD TN 37027
WARFIELD DEVELOPMENT LLC,9,name_only,2002 RICHARD JONES RD STE 200C
GEAUX TRIUMPH LLC,9,name_only,16404 WHITE OAK PL DR BATON ROUGE LA 70817
WAYMAKER PROPERTY LLC,9,name_only,1346 KENWOOD DR
BROWNESE APARTMENTS LLC,9,name_only,330 E 38TH ST APT 41-E NEW YORK NY 10016
BROOKVIEW FOREST HOMEOWNERS ASSOCIATION INC,9,name_only,PO BOX 1238 NOLENSVILLE TN 37135
GRASSMERE GROUP LLC,9,name_only,PO BOX 158103 NASHVILLE TN 37215
GREEN TRAILS LLC,9,name_only,2033 RICHARD JONES RD NASHVILLE TN 37215
GULCH DEVELOPMENT CORP LLC,9,name_only,3901 BELMONT BLVD NASHVILLE TN 37215
GWP LAND PARTNERS & GWP LAND DEVELOPMENT LLC,9,name_only,3310 WEST END AV STE 490 NASHVILLE TN 37203
HAPPY NEST LLC,9,name_only,5 SAWGRASS LN BRENTWOOD TN 37027
HAROLD & OWEN LLC,9,name_only,2026 JOHNSON INDUSTRIAL BLVD NOLENSVILLE TN 37135
WATKINS 2021 COMUNITY PROPERTY TRUST,9,name_only,6060 VANDERBILT RD OLD HICKORY TN 37138
EAST IRIS-COLUMBINE LLC,9,name_only,2100 ROSS AVE STE 895 C/O JOE KIDWELL DALLAS TX 75201
HAWKINS ENTERPRISES LLC,9,name_only,PO BOX 3726 BRENTWOOD TN 37024
CROSSINGS LTD PARTNERSHIP THE,9,name_only,7600-B LEESBURG PIKE STE 400 FALLS CHURCH VA 22043
CLEVELAND HALL LLC,9,name_only,930 WATERSWOOD DR NASHVILLE TN 37220
COBALT PROPERTIES IV LLC,9,name_only,807 BRADFORD AVE NASHVILLE TN 37204
COLUMBIA GULF TRANSMISSION LLC,9,name_only,7815 WALTON PKWY ATTN: MECHELLE MOODY NEW ALBANY OH 43054
COMMERCE PLACE CO,9,name_only,400 UNION ST NASHVILLE TN 37219
CONCEPT-F H C JOINT VENTURE,9,name_only,2230 IDLE HOUR CTR STE 216 LEXINGTON KY 40502
COOK'S LANDING HOMEOWNERS' ASSOCIATION INC,9,name_only,PO BOX 158247 NASHVILLE TN 37215
COWAN STREET PROPERTIES,9,name_only,PO BOX 2725 C/O BROWNING DEVEL SOLUTIONS BRENTWOOD TN 37024
CRAFTECH HOMES,9,name_only,"200 PUBLIC SQUARE, CLEVELAND, OH 44114"
DFW RENTALS LLC,9,name_only,204 MONTROSE LN SOUTHLAKE TX 76092
DV NASHVILLE PARKING LLC,9,name_only,8252 E LANSING RD DURAND MI 48429
DICKERSON PIKE SELF STORAGE LLC,9,name_only,1432 TYNE BLVD NASHVILLE TN 37215
CAMBRIDGE FOREST II HOMEOWNERS ASSOCIATION INC,9,name_only,278 FRANKLIN RD STE 140 BRENTWOOD TN 37027
DOUBLE A DEVELOPMENT LLC,9,name_only,1100 KERMIT DR STE 109 NASHVILLE TN 37217
DRG PROPERTIES LLC,9,name_only,917 ARCHER ST NASHVILLE TN 37203
DUBE & WHITEFIELD PROPERTIES LLC,9,name_only,929 BATTERY LN NASHVILLE TN 37220
CADENCE CONSTRUCTION LLC,9,name_only,PO BOX 95 THOMPSONS STATION TN 37179
WHITE PEACH DEVELOPMENT LLC,9,name_only,722 COURTLAND AVE CLARKSVILLE TN 37043
DUNLAP & KYLE TIRE CO INC,9,name_only,800 N 1ST ST NASHVILLE TN 37207
HARPETH DEVELOPMENT LLC,9,name_only,3624 LIME VALLEY BRIDGE RD THOMPSONS STATION TN 37179
HAWKMAN PROPERTIES LLC,9,name_only,1012 LUCAS CT BRENTWOOD TN 37027
MT VIEW SUB HOMEOWNER'S ASSOC INC,9,name_only,761 OLD HICKORY BV STE 200 BRENTWOOD TN 37027
MCALISTER PROPERTIES II GP,9,name_only,1600 OLD HICKORY BLVD BRENTWOOD TN 37027
LINEBERRY PROPERTIES INC,9,name_only,PO BOX 1767 MT JULIET TN 37121
LLU OPUS 29 LLC,9,name_only,11145 ANDERSON ST STE 200 LOMA LINDA CA 92350
BAUGHER HOMES 102 LLC,9,name_only,225 WILLIAMSBURG CIR
CHRISTIAN PROPERTIES INC,9,name_only,9463 CHESPEAKE BRENTWOOD TN 37027
LMS HOMES LLC,9,name_only,681 LEGENDS CREST DR FRANKLIN TN 37069
LUI NASHVILLE DEMONBREUN STREET LLC,9,name_only,100 WAUGH DR STE 600 HOUSTON TX 77007
MASON-GRAVLEE ENT INC & WGW PROPERTIES LLC,9,name_only,PO BOX 238 SPARTA TN 38583
MAT REAL ESTATE LLC,9,name_only,2600 JAMES THORNTON WAY LOUISVILLE KY 40245
MCDOWELL DEV CORP,9,name_only,5001 PLAZA ON THE LAKE
LAS PALMAS ENTERPRISES PARTNERSHIP,9,name_only,3288 EZELL PIKE NASHVILLE TN 37211
MID-STATE AUTOMOTIVE DISTRIBUTORS INC,9,name_only,492 CRAIGHEAD ST NASHVILLE TN 37204
MIDDLE TENNESSEE PROPERTY GROUP LLC,9,name_only,201 HOLLY LN
MILES INVESTMENTS LLC,9,name_only,5724 RIVER RD
MITCH KINDER DEVELOPMENT LLC,9,name_only,6219 BRIDLEWOOD LN BRENTWOOD TN 37027
MM&J PROPERTIES LLC,9,name_only,8021 HWY 22 S LEXINGTON TN 38351
MONROE NASHVILLE LP,9,name_only,PO BOX 2087 BALA CYNWYD PA 19004
MORRIS BLDG CORP,9,name_only,437 SUMMIT OAKS DR NASHVILLE TN 37221
MOUNTAIN VIEW HOMEOWNERS ASSOCIATION INC,9,name_only,50 VANTAGE WAY STE 100 NASHVILLE TN 37228
LEWIS HOMES LLC,9,name_only,6314 TURKEY FOOT CT FRANKLIN TN 37067
LARIMORE & LYONS LLC CASH BALANCE PLAN TWO,9,name_only,1519 EAST ANN ST MONTGOMERY AL 36107
W P INC,9,name_only,2125 32ND AVE S NASHVILLE TN 37212
HVH HYDES LLC,9,name_only,PO BOX 314 THOMPSONS STATION TN 37179
HDP1 LLC,9,name_only,1728 GENERAL GEORGE PATTON DR STE 102 BRENTWOOD TN 37027
BORN AGAIN CHURCH & CHRISTIAN OUTREACH MINISTRIES INC,9,name_only,858 WEST TRINITY LN NASHVILLE TN 37207
BOONE TRACE HOMEOWNERS ASSOCIATION INC,9,name_only,5115 MARYLAND WY STE 300 BRENTWOOD TN 37027
HERMANN HOLTKAMP GREENHOUSES INC,9,name_only,1501 LISCHEY AVE
WOODBINE COMMUNITY ORGANIZATION WCO INC,9,name_only,643 SPENCE LN NASHVILLE TN 37217
HON JV III TITLEHOLDER LLC,9,name_only,8333 DOUGLAS AVE STE 925 DALLAS TX 75225
HOUSING FUND INC THE,9,name_only,305 11TH AV S NASHVILLE TN 37203
WOODLAWN MEMORIAL PARK INC,9,name_only,PO BOX 130548 8TH FL C/O SCI MGMT HOUSTON TX 77219
INTEGRITY FIRST VENTURES LLC,9,name_only,170 E MAIN ST STE D-126 HENDERSONVILLE TN 37075
LAKEVIEW HILLS CO,9,name_only,1309 PLEASANT HILL RD NASHVILLE TN 37214
INTOWN PROPERTIES LLC,9,name_only,166 HICKS RD NASHVILLE TN 37221
JACKSON VALLEY LAND PARTNERS,9,name_only,6121 NOLENSVILLE PIKE NASHVILLE TN 37211
JEFFERSON COMMERCIAL LLC,9,name_only,6075 POPLAR AVE STE 500 MEMPHIS TN 38119
JOH PROPERTIES LLC,9,name_only,2206 CRAIGMEADE CR NASHVILLE TN 37214
JONES CO OF TENNESSEE LLC THE,9,name_only,381 MALLORY STATION RD 200 FRANKLIN TN 37067
JONES HERITAGE FOUNDATION INC,9,name_only,6201 BANBURY STATION BRENTWOOD TN 37027
KF LEGACY LLC,9,name_only,9308 CHEVOIT DR BRENTWOOD TN 37027
L AND R NASHVILLE II LLC,9,name_only,7111 RED MAPLE CT FAIRVIEW TN 37062
IMPROVE NASHVILLE LLC,9,name_only,PO BOX 3051 BRENTWOOD TN 37024
0 HART LANE LLC,9,name_only,713 18TH AVE S NASHVILLE TN 37203
2400VENTURES LLC,9,name_only,2206 21ST AVE S NASHVILLE TN 37212
18TH & CHET LLC,9,name_only,54 MUSIC SQ E STE 250 NASHVILLE TN 37203
22 DEVELOPMENTS LLC,9,name_only,2000 MALLORY LN STE 130 - 225 FRANKLIN TN 37067
1300 PENNOCK AVENUE HOLDINGS LLC,9,name_only,8110 ISABELLA LN STE 200 BRENTWOOD TN 37027
1520 16TH AVENUE SOUTH LLC,9,name_only,3841 GREEN HILLS VILLAGE DR 400 NASHVILLE TN 37215
IU TERMINAL PROPERTIES INC,8,name_only,7960 ARLINGTON EXPRESSWAY JACKSONVILLE FL 32211
OVERLOOK II PARTNERS,8,name_only,ATT:PATTI WAGGENER PO BOX 1603 BRENTWOOD TN 37024
HORRELL REFRIGERATION INC,8,name_only,PO BOX 32547 BANK OF AMERICA CHARLOTTE NC 28232
OLD SOUTH CONSTRUCTION LLC,8,name_only,245 NOAH DR FRANKLIN TN 37064
ANDREWS PROPERTIES INC,8,name_only,4421 WARNER PL NASHVILLE TN 37205
ABERDEEN WOODS HOMEOWNER ASSOCIATION INC,8,name_only,PO BOX 680515 ATTN:JOHN SCHROER FRANKLIN TN 37068
ONETOCREW LLC,8,name_only,5210 STATE ROUTE 1820 MELBER KY 42069
SHERLOCK REI LLC,8,name_only,42 JONES CIR OLD HICKORY TN 37138
HOME SERVICE CORP,8,name_only,ANDERSON RD & NEW SMITH SPRINGS RD NASHVILLE TN 37217
OTTER WOOD LTD,8,name_only,STE 800 2100 WEST END AV NASHVILLE TN 37203
FLOM MANAGEMENT LLC,8,name_only,2078 WILSON PIKE FRANKLIN TN 37067
CONDIT PROPERTIES LLC,8,name_only,150 DEBERNARDO LN C/O ROSS CONDIT APTOS CA 95003
CAVA GROUP INC,8,name_only,309 CHURCH ST 308 NASHVILLE TN 37201
SH RIDGEFIELD HOLDINGS INC,8,name_only,501 DAVIDSON ST NASHVILLE TN 37213
HILLSBORO REALTY CO,8,name_only,4342 CHICKERING LN NASHVILLE TN 37215
WAL-MART PROPERTIES INC,8,name_only,701 S WALTON BV BENTONVILLE AK 72716
WADE LANE LLC,8,name_only,PO BOX 23108 NASHVILLE TN 37202
HILLS AT CONCORD PLACE HOMEOWNERS ASSOC INC,8,name_only,50 VANTAGE WAY STE 100 NASHVILLE TN 37228
PARADISE PROPERTIES LLC,8,name_only,300 BROADWAY C/O LEE PARADISE NASHVILLE TN 37201
AMERICARE PROPERTIES LLC,8,name_only,2553 JORDAN RIDGE DR NASHVILLE TN 37218
SCW CONSTRUCTION CO INC,8,name_only,914 BATTERY LN NASHVILLE TN 37220
HIDDEN SHORES 40 LLC,8,name_only,8011 BROOKS CHAPEL RD NO 971
626 40TH LLC,8,name_only,4501 NEBRASKA AVE NASHVILLE TN 37209
PEABODY & DAKOTA STRATEGIC REALTY LLC,8,name_only,2205 HAMPTON AVE NASHVILLE TN 37215
CONNERTH CONSTRUCTION LLC,8,name_only,PO BOX 30925 CLARKSVILLE TN 37040
HOWINGTON CONSTRUCTION LLC,8,name_only,6035 RIVERVIEW DR PEGRAM TN 37143
CONCRETE INVESTMENTS LLC,8,name_only,5710 LAKEMONT DR SMYRNA TN 37167
FIBERWEB INC,8,name_only,9335 HARRIS CORNERS PKWY 300 TAX DEPT C/O MAGNERA CORP CHARLOTTE NC 28269
SMALL WONDERS CHILD CARE CENTER INC,8,name_only,4014 DRAKES BRANCH RD NASHVILLE TN 37218
NEW ROSE INC,8,name_only,3310 WEST END AV STE 400 NASHVILLE TN 37203
JAM HOMES LLC,8,name_only,3931 B BAXTER AVE
JAARON INVESTMENT PARTNERS 2 LLC,8,name_only,823 TYNE BLVD NASHVILLE TN 37220
J R & M CO,8,name_only,209 14TH AVE NORTH NASHVILLE TN 37203
NORTH RIVERLAND HOLDINGS LLC,8,name_only,16 PUBLIC SQUARE N
BROADSTONE STOCKYARD FLATS LLC,8,name_only,2415 E CAMEL BACK RD STE 600 PHOENIX AZ 85016
WEST BAY INVESTMENTS INC,8,name_only,12600 S BELCHER RD LARGO FL 33773
IRONWOOD PARTNERS LTD,8,name_only,153 TREELIND PARK STE 300 SAN ANTONIO TX 78209
IRELAND STREET PARTNERS LLC,8,name_only,105 WESTPARK DR STE 190 BRENTWOOD TN 37027
SKYLINE DEVELOPMENT LLC,8,name_only,PO BOX 111351 NASHVILLE TN 37222
DALECO CO,8,name_only,1700 8TH AVE SOUTH NASHVILLE TN 37203
FRONT STREET & WHARF LLC,8,name_only,PO BOX 150348 NASHVILLE TN 37215
117 BRIDGEWAY LLC,8,name_only,807 BRADFORD AVE NASHVILLE TN 37204
TRIPLEM DEVELOPMENT LLC,8,name_only,640 SPENCE LN 235 NASHVILLE TN 37217
COLCLASURE CO LLC,8,name_only,3818 HILLDALE DR NASHVILLE TN 37215
4204 PROPERTIES LLC,8,name_only,PO BOX 90391 NASHVILLE TN 37209
WEBB STARR LLC,8,name_only,280 WARFIELD BLVD CLARKSVILLE TN 37043
INFINITY HOME BUILDERS G P,8,name_only,139 CHARTER PL LA VERGNE TN 37086
BLUE GATES LLC,8,name_only,845 MARINA BLVD SAN FRANCISCO CA 94123
HYNEMAN RENTAL CO LLC,8,name_only,177 CRESCENT DR COLLIERVILLE TN 38017
HUNTINGTON RIDGE LLC ET AL,8,name_only,8011 BROOKS CHAPEL RD STE 2449 BRENTWOOD TN 37027
FIRESTONE PARKWAY REALTY LLC,8,name_only,220-222 MOORE ST C/O WONTON FOODS BROOKLYN NY 11206
SHOPPES ON THE HARPETH LLC,8,name_only,9019 OVERLOOK BV STE C2 BRENTWOOD TN 37027
SCOVEL HOMES DEVELOPMENT LLC,8,name_only,CHARLES E KIMBROUGH ET AL
Fort Lauderdale FL holder,8,canon_parent,5555 ANGLERS AVE STE 27 C/O MR RAM ADAR FORT LAUDERDALE FL 33312
AMERI-SOUTH HOME CORP,8,name_only,PO BOX 455 ANTIOCH TN 37011
REALTY INCOME PROPERTIES 5 LLC,8,name_only,2941 LAKE VISTA DR C/O CALIBER BODYWORKS OF TN LLC LEASE ADMINISTRATION DEPT LEWISVILLE TX 75067
RURAL HILL PROPERTY LLC,8,name_only,100 TRUMAN DR FRANKLIN TN 37064
CROWN CASTLE GT CO LLC,8,name_only,1220 AUGUSTA DR STE 500 HOUSTON TX 77057
RRK INVESTMENTS LLC,8,name_only,5104 STONE MOUNTAIN CT NASHVILLE TN 37211
GULF OIL CORP,8,name_only,"8858 LEBANON ROAD STE 2, MOUNT JULIET, TN 37122"
GEOTEK ENTERPRISES,8,name_only,213 WARD CR BRENTWOOD TN 37027
GIFFORD PARTNERSHIP THE,8,name_only,231 GIFFORD PL
GIOIA TENNESSEE COMMUNITY PROPERTY TRUST,8,name_only,3701 WEST END AVE UNIT 7
ROLLING HILLS HOMEOWNERS ASSOCIATION INC,8,name_only,PO BOX 331822 MURFREESBORO TN 37133
REALTREE MGT LLC,8,name_only,1905 9TH AVE N 1B NASHVILLE TN 37208
REALTY INCOME CORP,8,name_only,790 PERSHING RD C/O CINCINNATI LUBES INC RALEIGH NC 27608
CARVELL PROPERTIES LLC,8,name_only,517 CUMMINS ST FRANKLIN TN 37064
