BEST_PARENT,parcels,source,addr
WOODBINE COMMUNITY ORGANIZATION (WCO) INC,90,name_only,643 SPENCE LN NASHVILLE TN 37217
IRA INNOVATIONS LLC,90,name_only,798 BERRY RD STE 40883 NASHVILLE TN 37204
HCA REALTY INC,88,name_only,309 ESTBURY CR
BGC DEVELOPMENT LLC,88,name_only,PO BOX 150645 NASHVILLE TN 37215
HENSLEY GROUP LLC,85,name_only,2017 ROLLING CREEK DR MURFREESBORO TN 37128
PNI LLC,85,name_only,209 NEELYS BEND RD MADISON TN 37115
4TP NASHVILLE CROSSING LLC,85,name_only,267 S DEAN ST ENGLEWOOD NJ 07631
GLENCLIFF TOWNHOMES LLC,84,name_only,12630 OLD HICKORY BLVD ANTIOCH TN 37013
WEST NASHVILLE RESIDENCES LLC,83,name_only,15 RICHARD ARRINGTON JR N STE 300 BIRMINGHAM AL 35203
3509 CHARLOTTE LLC,83,name_only,3848 HUTSON AVE NASHVILLE TN 37216
NORTH CHARLOTTE AVENUE HOLDINGS LLC,82,name_only,720 E WISCONSIN AVE N16WC MILWAUKEE WI 53218
KWA/HH LLC,81,name_only,501 W BROADWAY STE 1240 SAN DIEGO CA 92101
E3 CONSTRUCTION BD CAPITAL LLC,81,name_only,2804 CLIFTON AVE NASHVILLE TN 37209
ROWAN PROPCO LLC,81,name_only,2405 DICKERSON PIKE NASHVILLE TN 37207
EGH / CRP-ECG,80,canon_parent,5644 FRANKLIN PIKE CIR BRENTWOOD TN 37027
Starwood Capital,80,curated_brand,6185 CROOKED CREEK RD STE C NORCROSS GA 30092
KSSK,80,canon_parent,1516 HAMPTON ST NASHVILLE TN 37207
Cerberus Capital,79,canon_parent,600 GALLERIA PKWY STE 300 ATLANTA GA 30339
HERMITAGE LLC,79,name_only,4201 C SWEDEN DR HERMITAGE TN 37076
OLD HICKORY COMMONS LLC,79,name_only,275 ROBERT ROSE DR MURFREESBORO TN 37129
URBAN DWELL HOMES LP,78,name_only,203 POINT EAST DR NASHVILLE TN 37216
AHV,78,canon_parent,150 PAULARINO AVE STE D250 COSTA MESA CA 92626
GUERRIER DEVELOPMENT LLC,77,name_only,332 LELLYETT AVE NASHVILLE TN 37209
ASHLAND RENTALS LLC,76,name_only,290 ED HARRIS RD ASHLAND CITY TN 37015
428 WILLIAMS PROPERTY OWNER 2 LLC,76,name_only,599 BROADWAY 8TH FL E NEW YORK NY 10012
Berkshire Hathaway,76,canon_parent,5000 CLAYTON RD MARYVILLE TN 37802
J2K BUILDERS LLC,75,name_only,615 NAPOLEAN AV NASHVILLE TN 37224
GAVI RMH LLC,74,name_only,"711 HIGH ST, DES MOINES, IA 50392"
TOWNHOMES OF NASHBORO VILLAGE LP,74,name_only,222 ORIEL AVE C/O CATHIE DODD NASHVILLE TN 37203
HABITAT FOR HUMANITY OF GREATER NASHVILLE INC,73,name_only,414 HARDING PL 100 NASHVILLE TN 37211
Toll Brothers (Southeast),71,curated_brand,250 GIBRALTER RD HORSHAM PA 19044
C & H PROPERTIES LLC,71,name_only,1503 MEMORIAL BV SPRINGFIELD TN 37172
AHJ ALAN ESTATES LLC,69,name_only,PO BOX 2079 MOUNT JULIET TN 37121
DAVCO-O H BLVD PROPERTIES,69,name_only,PO BOX 1551 C/O CHANCE ALLEN BRENTWOOD TN 37024
STEPHENS VALLEY WEST LLC,69,name_only,2200 ABBOTT MARTIN RD NASHVILLE TN 37215
SUMMIT JAMESTOWN LLC,68,name_only,1640 S SEPULVEDA BLVD 218 LOS ANGELES CA 90025
Regent,67,curated_brand,6901 LENOX VILLAGE DR STE 107 NASHVILLE TN 37211
CRAIGHEAD PARTNERS LLC & RAYON CITY INVESTORS,66,name_only,421 E IRIS DR STE 300 NASHVILLE TN 37204
RK JUNIOR CONTRACTING SERVICES LLC,66,name_only,555 MARRIOTT DR STE 315 NASHVILLE TN 37214
LENOX VILLAGE I & III LLC,65,name_only,6026 NOLENSVILLE RD NASHVILLE TN 37211
BELMONT REAL ESTATE HOLDINGS II LLC,65,name_only,1900 BELMONT BV NASHVILLE TN 37212
MCH DEVELOPMENT LLC,64,name_only,8110 ISABELLA LN 200 BRENTWOOD TN 37027
2500 W HEIMAN LP,63,name_only,501 COMMERCE ST STE 1650 NASHVILLE TN 37203
Porchlight,63,canon_parent,10006 N DALE MABRY HWY STE 201 C/O LANDEAVOR LLC TAMPA FL 33618
AMBER LANE DEVELOPMENT LLC,63,name_only,1804 WILLIAMSON CT STE 205 BRENTWOOD TN 37027
RESICAP (independent SFR servicer/operator),61,canon_parent,3630 PEACHTREE RD STE 1500 ATLANTA GA 30326
Drees,61,canon_parent,1604 WESTGATE CR BRENTWOOD TN 37027
730 MAIN STREET INVESTMENTS LLC,61,name_only,303 31ST AVE N STE 105 NASHVILLE TN 37203
PATTERSON CO LLC,61,name_only,321 BILLINGSLY CT STE 19 FRANKLIN TN 37067
BURKITT PLACE HOMEOWNERS ASSOCIATION INC,61,name_only,413 7TH AV S C/O GHERTNER & CO NASHVILLE TN 37203
REGAL HOMES CO,60,name_only,290 ED HARRIS RD ASHLAND CITY TN 37015
CHURCH HOLDING CO LLC,60,name_only,PO BOX 2966 BRENTWOOD TN 37024
CENTURY FARMS LLC,60,name_only,3841 GREEN HILLS VILLAGE DR STE 400 NASHVILLE TN 37215
APG RENTALS LLC,60,name_only,408 OLD DOUGLAS RD
PROVINCE BUILDERS LLC,59,name_only,1330 DERBY LN C/O JUDY MAINORD COOKEVILLE TN 38501
PHILLIPS RANDALL BLDRS INC,59,name_only,3102 AMBROSE AVE NASHVILLE TN 37207
NVR (NYSE: NVR),58,canon_parent,5115 MARYLAND WY STE 300 BRENTWOOD TN 37027
DY PROPERTIES II LLC,58,name_only,PO BOX 1283 ANTIOCH TN 37011
SEC REALTY CORP,58,name_only,WEST PARK BLD STE 203 111 WESTWOOD PL BRENTWOOD TN 37027
JIMMY'S LAST LAUGH LLC,57,name_only,2001 RIVERSIDE DR OLD HICKORY TN 37138
RWA/ASHLAND PLACE LLC,56,name_only,329 54TH AVE N NASHVILLE TN 37209
41ST AVENUE PARTNERS LLC,55,name_only,150 3RD AVE S STE 2800 NASHVILLE TN 37201
BURTON CAPITAL CORP,55,name_only,300 INTERSTATE NO ATLANTA GA 30339
NEW RIVER GROUP,55,name_only,1514 SOUTH ST NASHVILLE TN 37212
KUDZU REAL ESTATE INC,55,name_only,203 POINT EAST DR NASHVILLE TN 37216
PADRE PIO PROPERTIES LLC,54,name_only,205 LOGANS CIR
TRELB PARKHAVEN LLC,54,name_only,300 MONTVUE RD KNOXVILLE TN 37919
Rithm (fka New Residential),54,canon_parent,2350 POINTE PKWY STE 250 C/O RENU PROPERTY CARMEL IN 46032
RICHLAND SOUTH LLC,54,name_only,4701 TROUSDALE DR STE 215 NASHVILLE TN 37220
HILLSBORO PROPERTY MANAGEMENT CO INC,53,name_only,5201 MARYLAND WY BRENTWOOD TN 37027
Hillside,53,canon_parent,1728 GEN GEORGE PATTON DR STE 200 BRENTWOOD TN 37027
Beazer Homes,53,curated_brand,2910 KRAFT DR NASHVILLE TN 37204
PARDUE FAMILY ASHTON PARK PARTNERSHIP II,53,name_only,6203 BELLE RIVE DR C/O CHRIS PARDUE BRENTWOOD TN 37027
CARY ENT INC,53,name_only,1411 OLD HICKORY BV BRENTWOOD TN 37027
101 DAVENPORT DRIVE HOLDINGS LLC,53,name_only,1230 PEACHTREE ST 1150 C/O J D DESHONG ATLANTA GA 30309
CRESTBROOK REAL PROPERTY HOLDINGS LLC,52,name_only,49 WINDHAM CTR RD WINDHAM CT 06280
WEST END TERRACE GP & JIM CROSSMAN REALTY LLC,52,name_only,104 WOODMONT BLVD STE 203 NASHVILLE TN 37205
TRI STAR ENERGY LLC,52,name_only,200 CLIFTON AVE
FED DEVELOPMENT LLC,51,name_only,1815 10TH AV N
JACK PIRATAS PARTNERSHIP,51,name_only,4535 HARDING RD STE 309 NASHVILLE TN 37205
BRIDGEWATER HERMITAGE LLC,51,name_only,120 DONELSON PK NASHVILLE TN 37214
HERMITAGE PROPERTIES LLC,51,name_only,401 CENTER ST OLD HICKORY TN 37138
LENOX VILLAGE I LLC,51,name_only,1524 FERNWOOD CT BRENTWOOD TN 37027
VILLAGES OF RIVERWOOD HOMEOWNERS ASSO INC THE,50,name_only,278 FRANKLIN RD STE 140 C/O ASSOCIA TENNESSEE BRENTWOOD TN 37027
COLEMAN LAKE PARTNERS LLC,50,name_only,9102 CONCORD RD C/O WILLIAM A WATSON BRENTWOOD TN 37027
EXCHANGE LOFTS LLC THE,50,name_only,2206 21ST AVE S STE 200 NASHVILLE TN 37212
ARNOLD HOMES LLC,50,name_only,1612 WESTGATE CIR STE 222 BRENTWOOD TN 37027
WEST TOWN JOINT VENTURE,50,name_only,2820 HAZELWOOD DR NASHVILLE TN 37212
NIC VELOCITY LLC,50,name_only,4423 IRIQUOIS AVE
BURKITT VILLAGE HOMEOWNERS ASSOCIATION INC,49,name_only,845 BELL RD STE 210 ANTIOCH TN 37013
D R HORTON INC,49,name_only,5115 MARYLAND WAY STE 310 BRENTWOOD TN 37027
BUILD NASHVILLE LLC,49,name_only,402 BOULDER CREEK CT MOUNT JULIET TN 37122
GMAT HOLDINGS GP,49,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
CORNERSTONE LAND CO,48,name_only,201 E MAIN ST STE 300 MURFREESBORO TN 37130
PulteGroup,48,curated_brand,109 CRYSTAL CT NASHVILLE TN 37207
CROSS PROPERTIES,48,name_only,2019 MALLORY LN FRANKLIN TN 37064
SEG INVESTMENTS LP,48,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
CNK LLC,48,name_only,475 WEST END ST COOKEVILLE TN 38501
ZVEZDA 1 LLC,48,name_only,7236 GREEN MEADOWS LN
6680 CHARLOTTE CONDOS LLC,48,name_only,11 BURTON HILLS BLVD APT W475
MEHARRY MEDICAL COLLEGE INC,47,name_only,1005 18TH AVE NORTH NASHVILLE TN
PARK PLACE VENTURES LLC,47,name_only,6064 CENTRAL PK MT JULIET TN 37122
The Orchards BTR,47,canon_parent,3630 PEACHTREE RD STE 500 ATLANTA GA 30326
XE DEVELOPMENT CO LLC,47,name_only,1416 BRECKENBRIDGE CT WHITES CREEK TN 37189
L & S DEVELOPMENT LLC,47,name_only,317 51ST AVE N NASHVILLE TN 37209
D & M DEVELOPMENT LLC,46,name_only,905 SOUTHSIDE PL NASHVILLE TN 37203
CEDAR CREEK RENTALS LLC,46,name_only,8269 ROSSI RD
BFH ENTERPRISES LLC,46,name_only,4117 HILLSBORO PIKE STE 103-265 NASHVILLE TN 37215
MC2 GROUP INC THE,46,name_only,2160 WHITNEY AVE NASHVILLE TN 37210
PROVERBS BUILD HOMES LLC,46,name_only,620 DURRETT DR NASHVILLE TN 37211
1 PUBLIC HOMES LLC,46,name_only,7051 HIGHWAY 70 S 315
SPORTS RESORT DEVELOPMENT LLC,45,name_only,501 W CHURCH ST ORLANDO FL 32805
INTUITION DEVELOPMENT LLC,45,name_only,750 OLD HICKORY BLVD STE 150 BLDG 2 BRENTWOOD TN 37027
CRYSTAL BAY LLC,45,name_only,"102 WOODMONT BLVD STE 610, NASHVILLE, TN 37205"
M & J PARTNERSHIP,44,name_only,1019 MILLWOOD LN ASHLAND CITY TN 37015
Z1 LLC & 51ST AVENUE LLC,44,name_only,2728 HERMAN ST NASHVILLE TN 37208
POTTER BROTHERS CONSTRUCTION LLC,44,name_only,7003 OLD CLARKSVILLE PIKE JOELTON TN 37080
MOMO REAL ESTATE INVESTMENTS INC,44,name_only,2028 WILLOWMET LN BRENTWOOD TN 37027
TAYLOR PROPERTIES I LLC,44,name_only,1127 NASHBORO BLVD NASHVILLE TN 37217
LUX DEVELOPMENT GROUP LLC,44,name_only,7445 N MILTON RD MILTON TN 37118
ROGERS GROUP INC,43,name_only,PO BOX 25250 NASHVILLE TN 37202
RS RENTAL II LLC,43,name_only,199 LAFAYETTE ST 7TH FL NEW YORK NY 10012
RIVERWALK AT MILL CREEK HOMES LLC,43,name_only,786 ELYSIAN FIELDS RD NASHVILLE TN 37204
MENADUKE LLC,43,name_only,2404 CRESTMOOR RD NASHVILLE TN 37215
ASPEN CONSTRUCTION LLC,43,name_only,8005 CHURCH ST E STE 201 BRENTWOOD TN 37027
SSE INVESTORS LLC,42,name_only,2147 BURNS ST NASHVILLE TN 37216
NASHVILLE PHASE III PROPERTY HOLDER LLC,42,name_only,621 W RANDOLPH STE 4 CHICAGO IL 60661
2ND & HART PARTNERS LLC,41,name_only,3804 BRIGHTON RD NASHVILLE TN 37205
HOWELL PARK PARTNERS LLC,41,name_only,1720 LINDEN AVE
JACKSON VALLEY LAND PARTNERS LLC,40,name_only,6121 NOLENSVILLE PIKE NASHVILLE TN 37211
GOSCO PROPERTIES LLC,40,name_only,211 BELL CANYON RD
