parid,apn,acct
1284,00700018400,749
1285,00700018500,750
1286,00700018600,751
1287,00700018700,752
1289,00700005800,631
1290,00700005900,632
1292,00700006100,634
1293,00700006200,635
1296,00700006500,638
1297,00700006600,639
1302,00700007000,643
1303,00700007100,644
1304,00700007200,645
1305,00700007300,646
1308,00700007400,647
1309,00700007500,648
1319,00700007700,650
1332,00700007900,652
1333,00700008000,653
1334,00700008100,654
1338,00700008300,656
1345,00700008700,659
1346,00700008800,660
1361,00700009600,666
1362,00700009700,667
1368,00700010000,669
1371,00700010100,670
1372,00700010300,671
1375,00700010400,672
1378,00700010700,675
1380,00700010800,676
1381,00700010900,677
1385,00700011000,678
1387,00700011100,679
1389,00700011200,680
1390,00700011300,681
1392,00700011500,683
1393,00700011600,684
1394,00700011700,685
1397,00700011900,687
1398,00700012000,688
1399,00700012100,689
1400,00700012200,690
1409,00700012500,693
1410,00700012600,694
1411,00700012700,695
1412,00700012800,696
1413,00700012900,697
1414,00700013000,698
1415,00700013100,699
1416,00700013200,700
1417,00700013300,701
1418,00700013400,702
1420,00700013600,704
1421,00700013700,705
1422,00700013800,706
1423,00700013900,707
1424,00700014000,708
1425,00700014100,709
1426,00700014200,710
1427,00700014300,711
1428,00700014400,712
1429,00700014500,713
1430,00700014600,714
1431,00700014700,715
1432,00700014800,716
1433,00700014900,717
1434,00700015000,718
1435,00700015100,719
1444,00700015500,722
1448,00700015700,724
1449,00700015800,725
1452,00700015900,726
1456,00700016100,727
1460,00700016300,729
1461,00700016400,730
1467,007140A00500CO,211587
1469,007140A00700CO,211589
1472,007140A01000CO,211592
1474,007140A01200CO,211594
1476,007140A01400CO,211596
1478,007140A01600CO,211598
1480,007140A01800CO,211600
1483,007140A02100CO,211603
1484,007140A02200CO,211604
1485,007140A02300CO,211605
1486,007140A02400CO,211606
1487,007140A02500CO,211607
1489,007140A02700CO,211609
1492,007140A03000CO,211612
1495,007140B00100CO,217245
1498,007140B00200CO,217246
1499,00715001500,816
1500,00715001600,817
1501,00715001700,818
1502,00715001800,819
1504,00715002000,821
1506,00715002100,822
1507,00715002200,823
1508,00715002300,824
1509,00715002400,825
1510,00715002500,826
1511,00715002600,827
1512,00715002700,828
1513,00715002800,829
1514,00715002900,830
